Year,Month,Day,USDPrice,FastGasPrice,CostGasUnit,Deploy (StackelbergGameOffChain),Deploy (StackelbergGameOnChain),grantRole,revokeRole,initialize,input,initEvaluation,output (StackelbergGameOffChain),output (StackelbergGameOnChain)
2023,5,2,0.98,294.1731314679954,2.8828966883863547e-07,0.6401391375454626,0.7790765956765481,0.014999134890336526,0.008686167722108087,0.020303664796967418,0.03746468391392487,0.008883357855593714,0.06768349529125949,0.08396119486289536
2023,5,3,1.01,254.2174714252391,2.567596461394915e-07,0.570127604982649,0.6938695785641772,0.013358690869345465,0.00773616813818288,0.01808306835831211,0.03336719981405762,0.007911791736142293,0.06028100268204526,0.07477842258201937
2023,5,4,0.98,241.83372174318342,2.3699704730831973e-07,0.5262453076307994,0.640462953619429,0.012330482377357259,0.007140721035399674,0.016691228047830343,0.03079895128295269,0.007302827015758564,0.055641218778858074,0.06902278306102773
2023,5,5,1.0,252.49821469974498,2.52498214699745e-07,0.5606652157907721,0.6823534478885231,0.013136977114398332,0.007607771208903317,0.01778294426487364,0.03281340549130536,0.007780479987757942,0.059280520854347325,0.07353732755093903
2023,5,6,0.98,226.3008020164986,2.2177478597616863e-07,0.4924447025660751,0.5993261775950719,0.011538498564768102,0.006682074301461961,0.015619154626729604,0.028820742311532994,0.00683376825506966,0.05206739715234097,0.06458946689291338
2023,5,7,0.96,209.1543215613383,2.0078814869888476e-07,0.44584446211771006,0.5426117001372045,0.010446605800505576,0.006049746920297398,0.014141107736565055,0.026093423864163568,0.006187086014007435,0.04714023839892937,0.0584773396389145
2023,5,8,0.9,213.16412942271882,1.9184771648044692e-07,0.42599248270877094,0.5184509956462081,0.009981452993044692,0.005780371697555866,0.013511450976284915,0.02493156999521648,0.005911595535628492,0.04504123948441341,0.05587353710004888
2023,5,9,0.88,177.3543172219615,1.5607179915532613e-07,0.3465530600140253,0.42176983468354573,0.008120103566453308,0.004702443308549976,0.010991824670911308,0.020282310659230408,0.0048091964191722195,0.03664191271849085,0.04545419471419803
2023,5,10,0.88,223.57895595432302,1.9674948123980425e-07,0.4368767141075106,0.5316975688477782,0.010236482009944535,0.005928061869755302,0.013856672464756933,0.02556857883451876,0.006062638514923328,0.04619205620755628,0.05730112216679935
2023,5,11,0.84,192.69355284365645,1.6186258438867142e-07,0.359411336482682,0.4374189048152051,0.008421386540573797,0.00487691966763067,0.011399658093325351,0.021034852154229795,0.004987633675352521,0.03800145011243472,0.04714069721477227
2023,5,12,0.87,187.57417158420336,1.6318952927825692e-07,0.3623577804555497,0.44100485262732503,0.008490424829289151,0.0049169005171538814,0.011493112168009079,0.02120729527735588,0.005028522155180209,0.038312984925832044,0.04752715531747027
2023,5,13,0.85,162.4255294391436,1.3806170002327205e-07,0.30656213917407493,0.3730991806981906,0.007183074128810798,0.0041597990217011865,0.009723409409239004,0.01794180822652432,0.004254233224517105,0.032413573684663716,0.04020895145307773
2023,5,14,0.86,156.72922862453532,1.347871366171004e-07,0.29929106281844614,0.36424997107828166,0.007012705143914499,0.0040611364262732345,0.009492788457669146,0.017516262339075283,0.004153330827719332,0.031644784786416365,0.039255270881227704
2023,5,15,0.86,174.0869494290375,1.4971477650897225e-07,0.3324374692244306,0.40459055947083516,0.007789360392208808,0.004510906216215334,0.010544112279973898,0.019456183781223487,0.00461331112334747,0.03514943636967047,0.04360278179569657
2023,5,16,0.85,166.7463954318344,1.4173443611705922e-07,0.3147173468337187,0.3830244157726659,0.0073741592422983575,0.004270458560206994,0.009982072866852248,0.018419098645592432,0.004367404914511063,0.0332758439738187,0.04127859544029621
2023,5,17,0.89,158.94129017233348,1.414577482533768e-07,0.3141029691796721,0.3822766919996598,0.007359763726126688,0.004262121954874244,0.009962586293988822,0.018383141674267585,0.004358879054679553,0.0332108843039348,0.04119801314356521
2023,5,18,0.87,150.26425087108012,1.307298982578397e-07,0.2902820786443818,0.35328565362107034,0.0068016151465588835,0.00393889183450871,0.009207045274503134,0.016989003928097556,0.004028311084917072,0.030692242593382574,0.038073644838714976
2023,5,19,0.87,167.3974131903985,1.456357494756467e-07,0.3233801039096882,0.3935673601047329,0.0075771367737189465,0.004388005131701235,0.010256834564070847,0.018926093823107667,0.004487619984342578,0.03419177871889443,0.04241481004153787
2023,5,20,0.88,148.27387783433593,1.3048101249421562e-07,0.28972943477505597,0.35261306249348073,0.00678866611804905,0.003931392906450716,0.009189516747942618,0.01695665997868579,0.00402064191899676,0.030633810189341967,0.03800115959780286
2023,5,21,0.86,152.74505366308915,1.3136074615025667e-07,0.2916828587257527,0.35499046264316897,0.006834436900705554,0.003957899281507233,0.009251474629870277,0.017070985765956604,0.004047750031874009,0.030840350538172658,0.038257372348054604
2023,5,22,0.87,174.06866402424808,1.5143973770109582e-07,0.3362676972526277,0.40925211012108065,0.007879106673112613,0.004562879296934017,0.010665597846812777,0.01968035111294591,0.004666464077521567,0.035554415858512475,0.04410515776832945
2023,5,23,0.89,162.93904739990796,1.450157521859181e-07,0.32200341728776993,0.39189187384899477,0.007544879554728947,0.004369324613361712,0.01021316939494984,0.018845522075320986,0.0044685153878568805,0.034046218235201105,0.0422342426508746
2023,5,24,0.87,183.5145790554415,1.596576837782341e-07,0.354515416414423,0.43146036156145384,0.008306669971613964,0.004810486012238193,0.011244371353133472,0.020748314295400413,0.0049196918679425055,0.03748379236671869,0.04649854416588912
2023,5,25,0.89,165.6790120593692,1.474543207328386e-07,0.3274181904662876,0.3984818834373096,0.007671753399088127,0.004442798683680427,0.010384912900572358,0.01916242625083604,0.0045436574390616885,0.03461873560437292,0.04294444891591118
2023,5,26,0.91,196.75348027842227,1.7904566705336428e-07,0.39756589041331786,0.4838546220560151,0.009315387965452436,0.005394645948317866,0.012609828239234339,0.023267879661919955,0.0055171131845823665,0.04203562552812065,0.05214508102695476
2023,5,27,0.92,156.58817254174397,1.4406111873840445e-07,0.3198836804473024,0.38931206382873285,0.007495211885721707,0.004340561507588126,0.010145936470508349,0.01872146268564935,0.004439099312805195,0.033822093212927645,0.041956216160254176
2023,5,28,0.94,155.93093858632676,1.4657508227114714e-07,0.32546586608077865,0.39610582150528845,0.007626008380403244,0.004416307228829663,0.01032298989419235,0.019048164816546927,0.004516564585103128,0.03441231151529084,0.04268838038556662
2023,5,29,0.91,185.1125810936052,1.6845244879518076e-07,0.3740439458811326,0.4552274136961356,0.008764244005915665,0.005075472282198797,0.01186376906374699,0.021891237983177714,0.0051906937571747,0.039548592118337354,0.04905992273465965
2023,5,30,0.9,191.16064275733584,1.7204457848160224e-07,0.38202016927020027,0.4649348172898882,0.008951135329240802,0.005183703149650676,0.012116755573302282,0.02235805319657662,0.005301381641332092,0.04039193795759665,0.05010609099240335
2023,5,31,0.89,174.67018505825908,1.5545646470185058e-07,0.34518672708944753,0.4201069493184633,0.008088088945507882,0.0046839032814667576,0.010948487896021932,0.02020234487032899,0.004790235503322824,0.03649744695684167,0.04527498532330226
2023,6,1,0.89,171.04507074924612,1.5223011296682905e-07,0.3380227033996808,0.4113880273525755,0.007920228317438181,0.004586693303690559,0.010721262396027836,0.01978306433060427,0.00469081870095987,0.03573997700190026,0.04433534587034632
2023,6,2,0.9,183.63219162230965,1.6526897246007868e-07,0.3669751258163758,0.4466243585968688,0.008598614099152973,0.00497955414022217,0.011639563192418422,0.021477529316049526,0.005092598117384864,0.03880118827828743,0.048132770270300856
2023,6,3,0.9,165.8777958236659,1.4929001624129932e-07,0.33149430094335036,0.40344268350063345,0.007767260965002321,0.0044981081893503486,0.010514197263842229,0.019400984060638053,0.004600222560459397,0.03504971285306729,0.04347907504009977
2023,6,4,0.89,159.61393404551788,1.4205640130051092e-07,0.3154322615085481,0.3838944973821124,0.007390910446862982,0.0042801593711843935,0.010004748230792383,0.018460939631007894,0.004377325949673943,0.03335143367172875,0.041372364258359495
2023,6,5,0.84,201.88309302325584,1.695817981395349e-07,0.3765516344784894,0.45827937752846243,0.008823001793603723,0.005109499577944187,0.011943306879371165,0.02203800257722326,0.005225493527871629,0.03981373624000745,0.04938883330836001
2023,6,6,0.82,183.71770055970148,1.5064851445895522e-07,0.33451080819770523,0.40711390131051073,0.007837940910270522,0.00453903974064832,0.010609873576315298,0.019577527696513525,0.004642083324538246,0.03536865563061567,0.04387472270251166
2023,6,7,0.77,174.58070134695774,1.3442714003715745e-07,0.29849170049258705,0.3632771130806746,0.006993975241853228,0.004050289729319554,0.009467434618536925,0.017469478983528797,0.004142237893104969,0.03156026622936368,0.0391504258372817
2023,6,8,0.78,170.1708120649652,1.3273323341067286e-07,0.2947304282578636,0.358699484568103,0.006905844667890487,0.003999252322663573,0.009348136162646868,0.01724934734788399,0.0040900418543164735,0.031162577607224132,0.03865709416529095
2023,6,9,0.73,182.90814849404623,1.3352294840065375e-07,0.2964839682810964,0.3608336174644623,0.006946931959389213,0.004023046435311698,0.009403754209961243,0.017351974759406957,0.004114376132017744,0.031347983733711886,0.038887089969258
2023,6,10,0.61,394.99181923522593,2.409450097334878e-07,0.5350116476529372,0.6511319628088651,0.012535886966413903,0.007259673143269987,0.01696927514551008,0.03131200873991541,0.007424479529927693,0.05656810560518934,0.07017258368977125
2023,6,11,0.64,176.56,1.1299840000000001e-07,0.2509097832448,0.30536789314560003,0.005879080755200001,0.0034046417920000002,0.007958251315200001,0.014684707072000001,0.0034819326976000004,0.026529312358400003,0.032909541017600005
2023,6,12,0.64,218.88030690537084,1.4008339641943735e-07,0.31105125941426087,0.37856263123445527,0.007288258948910486,0.0042207127341176475,0.009865793443028134,0.01820453778168798,0.0043165297772685424,0.03288821947776983,0.04079774828980052
2023,6,13,0.64,218.85627755859826,1.400680176375029e-07,0.3110171112595813,0.3785210714757466,0.007287458821644001,0.004220249371417962,0.009864710346174053,0.01820253923208169,0.004316055895482014,0.032884608908862384,0.04079326938872871
2023,6,14,0.62,307.41228764254134,1.9059561833837565e-07,0.4232122338430496,0.5150673143581914,0.009916308830909009,0.005742645980535258,0.01342326820833512,0.024768853581163607,0.005873013383478707,0.04474727689101048,0.055508877289250184
2023,6,15,0.59,269.7924077083817,1.5917752054794517e-07,0.3534492274061369,0.43016276412645194,0.00828168803906849,0.0047960186941095875,0.011210554417150681,0.020685914682808216,0.0049048961181643825,0.03737106156416437,0.046358701906863004
2023,6,16,0.59,200.57149500116253,1.1833718205068588e-07,0.26276439930245055,0.31979546580841195,0.0061568469077330846,0.0035654992951871653,0.008334251057465705,0.015378508493396883,0.0036464419277098346,0.027782730253131827,0.0344644025632597
2023,6,17,0.61,185.97808155699724,1.1344662974976831e-07,0.25190506485372754,0.30657919325544164,0.005902401252620946,0.0034181469543605194,0.007989819240016682,0.01474295676913114,0.0034957444491093607,0.026634545946131606,0.033040083001692776
2023,6,18,0.6,177.14467887781126,1.0628680732668676e-07,0.2360068796383028,0.2872304247009042,0.005529890011592859,0.003202421504753072,0.007485567266403895,0.013812502046139577,0.003275121680964526,0.02495359147693021,0.030954863479016922
2023,6,19,0.61,185.81285382830626,1.1334584083526682e-07,0.2516812658911666,0.30630682038579254,0.005897157406977262,0.003415110184366589,0.00798272087834617,0.0147298587457471,0.003492638739497912,0.0266108831279406,0.03301072933902227
2023,6,20,0.63,201.41505701652315,1.268914859204096e-07,0.2817589915246637,0.3429126935746882,0.00660191022946707,0.003823240470781941,0.008936713570402606,0.01649018305278683,0.003910034247151501,0.029791075498450083,0.03695574946797417
2023,6,21,0.67,200.19206607724524,1.3412868427175434e-07,0.2978289878222709,0.36247056353414736,0.006978447185290834,0.004041297257107958,0.009446414975891115,0.017430693164535833,0.004133041277149838,0.0314901959785854,0.03906350387862146
2023,6,22,0.66,201.65344627523785,1.3309127454165697e-07,0.29552544856406215,0.35966705814284466,0.006924472831853329,0.004010040101940125,0.009373352283419817,0.01729587658306103,0.004101074533726618,0.03124663707179206,0.038761369706237635
2023,6,23,0.68,191.26996056599398,1.300635731848759e-07,0.28880252247696775,0.35148497074696733,0.006766947585662724,0.003918815460060311,0.00916011733226444,0.016902411653240548,0.004007778944118766,0.030535805458052425,0.037879584990790076
2023,6,24,0.65,173.2586335115036,1.1261811178247735e-07,0.25006536390586104,0.30434019884397284,0.005859295119818732,0.003393183708006043,0.007931468376616315,0.014635286716691844,0.003470214496465257,0.026440029811842902,0.032798786257416924
2023,6,25,0.67,176.87123986095017,1.1850373070683662e-07,0.2631342159300709,0.32024554839573166,0.006165512101215295,0.0035705174061969876,0.00834598074622109,0.015400152324006953,0.0036515739580004637,0.027821831880428274,0.03451290802732839
2023,6,26,0.65,180.0639024390244,1.1704153658536586e-07,0.2598874548247805,0.316294101842122,0.006089437065463415,0.003526461497317073,0.008243001338634147,0.01521013288695122,0.0036065179083414633,0.027478543793365853,0.03408706007358537
2023,6,27,0.66,192.05137955019708,1.2675391050313007e-07,0.28145350916270623,0.3425409085288532,0.006594752455656851,0.003819095323459309,0.008927024408914444,0.016472304439434267,0.00390579499824345,0.029758776092282866,0.036915682141021096
2023,6,28,0.61,217.7622908921933,1.3283499744423792e-07,0.2949563924450019,0.35897449260828557,0.006911139247028811,0.004002318472994888,0.009355303200002787,0.017262572092865937,0.004093177611246748,0.0311864693599684,0.03868673182066241
2023,6,29,0.62,192.05735464442898,1.1907555987954598e-07,0.26440394659685523,0.32179086469852397,0.006195263229413018,0.0035877466191707205,0.008386253531196665,0.015474464384146397,0.00366919430212833,0.027956083646280286,0.03467944698375909
2023,6,30,0.66,236.74338354577057,1.5625063314020858e-07,0.3469501558701052,0.42225311725379794,0.008129407941018772,0.004707831576514485,0.01100441959079861,0.020305551029735806,0.004814707009582387,0.03668389864612561,0.045506278145121204
2023,7,1,0.68,160.6329011345219,1.0923037277147489e-07,0.2425429842886224,0.2951851424509887,0.005683037834554296,0.0032911111316045382,0.0076928766935494336,0.01419503309351702,0.0033658247065802274,0.02564466999779579,0.03181214453559157
2023,7,2,0.68,148.5228558182661,1.0099554195642096e-07,0.22425777303905794,0.2729312615429096,0.005254596056908669,0.0030429956791469632,0.007112914028906815,0.013124875654946685,0.0031120766298451553,0.023711329358360685,0.029413840643846084
2023,7,3,0.71,177.58460291734198,1.260850680713128e-07,0.2799683632704441,0.34073342272152835,0.006559953921614263,0.003798943100988655,0.008879919174126418,0.016385385021207455,0.003885185287549433,0.029601747941510534,0.03672088914002107
2023,7,4,0.7,166.4167906976744,1.1649175348837208e-07,0.25866667685183253,0.3148083630527581,0.006060832950493022,0.0035098965326046507,0.008204281214679069,0.015138685824581393,0.003589576891990697,0.02734946791698604,0.03392694179419999
2023,7,5,0.67,145.45131425913002,9.745238055361711e-08,0.21639028235265131,0.2633561902795199,0.005070252455443592,0.002936240226080484,0.006863376257630146,0.012664424114845313,0.0030028976543791577,0.022879480096856013,0.028381933860054893
2023,7,6,0.66,143.99637209302327,9.503760558139536e-08,0.21102834214053212,0.25683048066161307,0.004944616543188837,0.0028634830561674422,0.006693308485886513,0.012350612033330233,0.0029284887783851167,0.022312548887977676,0.02767865721192
2023,7,7,0.68,124.6274814471243,8.474668738404453e-08,0.18817764642902413,0.22902021070682838,0.004409200651217068,0.0025534176908812616,0.005968539699083488,0.011013255758993507,0.002611384425051948,0.01989648827727644,0.024681540487041746
2023,7,8,0.68,110.67421223354958,7.525846431881373e-08,0.16710931278292496,0.20337915130134107,0.0039155473815792406,0.0022675375299258576,0.005300303125045413,0.009780213730551438,0.002319014319519926,0.01766888121891381,0.02191819988974699
2023,7,9,0.69,113.37018072289158,7.822542469879518e-08,0.17369736523178314,0.2113970917348464,0.004069912396228916,0.002356932046174699,0.005509260210686747,0.010165785066731927,0.0024104382366686747,0.01836545230908434,0.02278229446385241
2023,7,10,0.74,154.5120277777778,1.1433890055555558e-07,0.25388632719439563,0.3089904739114384,0.005948824318104446,0.0034450310737388894,0.008052660088326669,0.014858911821697225,0.0035232388817188895,0.026844029716831117,0.03329994705889945
